label r g b roi group
4 1.0 0.49000000953674316 0.49000000953674316 Left-lateral-geniculate posterior
5 0.5254902243614197 0.32549020648002625 0.14509804546833038 Left-medial-geniculate posterior
14 0.5 0.0 0.5 Left-anterior anterior
15 1.0 0.5 0.0 Left-lateral lateral
16 0.9960784316062927 0.9960784316062927 0.9960784316062927 Left-medial medial
17 0.0 0.0 0.49803921580314636 Left-lateral-posterior posterior
19 0.9800000190734863 0.9800000190734863 0.07000000029802322 Left-posterior posterior
20 1.0 0.2 0.3 Left-pulvinar-anterior posterior
26 0.6705882549285889 0.6078431606292725 0.9803921580314636 Left-centromedian medial
27 0.0 0.32156863808631897 1.0 Left-mediodorsal medial
28 0.10000000149011612 0.10000000149011612 0.10000000149011612 Left-central-lateral medial
29 0.25 0.7799999713897705 0.10000000149011612 Left-pulvinar posterior
30 0.25 1.0 1.0 Left-habenula medial
31 0.2980392277240753 0.2980392277240753 0.29411765933036804 Left-MTT wm
54 1.0 0.49000000953674316 0.49000000953674316 Right-lateral-geniculate posterior
55 0.5254902243614197 0.32549020648002625 0.14509804546833038 Right-medial-geniculate posterior
64 0.5 0.0 0.5 Right-anterior anterior
65 1.0 0.5 0.0 Right-lateral lateral
66 1.0 0.9960784316062927 0.9960784316062927 Right-medial medial
67 0.0 0.0 0.49803921580314636 Right-lateral-posterior posterior
69 0.9800000190734863 0.9800000190734863 0.07000000029802322 Right-posterior posterior
70 1.0 0.2 0.3 Right-pulvinar-anterior posterior
76 0.6705882549285889 0.6078431606292725 0.9803921580314636 Right-centromedian medial
77 0.0 0.32156863808631897 1.0 Right-mediodorsal medial
78 0.10000000149011612 0.10000000149011612 0.10000000149011612 Right-central-lateral medial
79 0.25 0.7799999713897705 0.10000000149011612 Right-pulvinar posterior
80 0.25 1.0 1.0 Right-habenula medial
81 0.2980392277240753 0.2980392277240753 0.29411765933036804 Right-MTT wm
