label r g b roi group
1 0.8 0.4 0.996078431372549 Left-Accumbens subcortex
2 0.5686274509803921 0.9882352941176471 0.0 Left-Caudate subcortex
3 1.0 0.0 0.6470588235294118 Left-Claustrum subcortex
6 0.803921568627451 0.01568627450980392 0.07058823529411765 Left-Globus-pallidus-externus subcortex
7 0.40784313725490196 0.00784313725490196 0.011764705882352941 Left-Globus-pallidus-internus subcortex
9 0.0 0.5 0.0 Left-Putamen subcortex
10 1.0 0.0 0.0196078431372549 Left-Red-nucleus subcortex
11 0.5 0.5 0.0 Left-Sub-thalamic subcortex
12 0.0 0.5 0.5 Left-Substancia-nigra subcortex
13 0.0 0.0 0.0 Left-Amygdala subcortex
18 0.0 0.0 0.0 Left-Internal-capsule subcortex
51 0.8 0.4 0.996078431372549 Right-Accumbens subcortex
52 0.5686274509803921 0.9882352941176471 0.0 Right-Caudate subcortex
53 1.0 0.0 0.6470588235294118 Right-Claustrum subcortex
56 0.8 0.01568627450980392 0.06666666666666667 Right-Globus-pallidus-externus subcortex
57 0.4980392156862745 0.0 0.0 Right-Globus-pallidus-internus subcortex
59 0.0 0.5 0.0 Right-Putamen subcortex
60 1.0 0.0 0.0196078431372549 Right-Red-nucleus subcortex
61 0.5 0.5 0.0 Right-Sub-thalamic subcortex
62 0.0 0.5 0.5 Right-Substancia-nigra subcortex
63 0.0 0.0 0.0 Right-Amygdala subcortex
68 0.0 0.0 0.0 Right-Internal-capsule subcortex
